R2ID,Identificador,Dist,Ranitas_C6M,C6M
1470,8496,19,0,0
1471,8497,19,0,0
1472,8498,18,0,0
1473,8499,18,0,0
1474,8500,18,0,0
1475,8501,17,0,0
1476,8502,17,0,0
1477,8503,17,0,0
1478,8504,17,0,0
1479,8505,17,0,0
1480,8506,17,0,0
1481,8507,18,0,0
1482,8508,18,0,0
1483,8509,17,0,0
1484,8510,17,0,0
1485,8511,17,0,0
1486,8512,17,0,0
1487,8513,18,0,0
1488,8514,17,0,0
1489,8515,17,0,0
1490,8516,17,0,0
1491,8517,17,0,0
1492,8518,16,0,0
1493,8519,17,0,0
1494,8520,17,0,0
1495,8521,16,0,0
1496,8522,16,0,0
1497,8523,16,0,0
1498,8524,15,0,0
1499,8525,13,0,0
1500,8526,13,0,0
1501,8527,12,0,0
1502,8528,12,0,0
1503,8529,11,0,0
1504,8530,10,0,0
1505,8531,10,0,0
1506,8532,8,0,0
1507,8533,7,0,0
1508,8534,7,0,0
1509,8535,5,0,0
1510,8536,4,0,0
1511,8537,3,0,0
1512,8538,1,0,0
1513,8539,0,2,1
1514,8540,0,1,1
1515,8640,20,0,0
1516,8641,21,0,0
1517,8642,22,0,0
1518,8643,24,0,0
1519,8644,24,0,0
1520,8645,26,0,0
1521,8646,26,0,0
1522,8647,26,0,0
1523,8648,27,0,0
1524,8649,27,0,0
1525,8650,28,0,0
1526,8651,30,0,0
1527,8652,31,0,0
1528,8653,31,0,0
1529,8654,34,0,0
1530,8655,34,0,0
1531,8656,34,0,0
1532,8657,36,0,0
1533,8658,36,0,0
1534,8659,23,0,0
1535,8660,23,0,0
1536,8661,23,0,0
1537,8662,21,0,0
1538,8663,22,0,0
1539,8664,22,0,0
1540,8665,22,0,0
1541,8666,22,0,0
1542,8667,22,0,0
1543,8668,22,0,0
1544,8669,21,0,0
1545,8670,21,0,0
1546,8671,21,0,0
1547,8672,21,0,0
1548,8673,21,0,0
1549,8674,21,0,0
1550,8675,20,0,0
1551,8676,20,0,0
1552,8677,20,0,0
1553,8678,20,0,0
1554,8679,20,0,0
1555,8680,20,0,0
1556,8681,19,0,0
1557,8682,19,0,0
1558,8683,19,0,0
1559,8684,20,0,0
1560,8685,20,0,0
1561,8686,20,0,0
1562,8687,20,0,0
1563,8688,20,0,0
1564,8689,20,0,0
1565,8690,19,0,0
1566,8691,19,0,0
1567,8692,19,0,0
1568,8693,18,0,0
1569,8694,18,0,0
1570,8695,18,0,0
1571,8696,18,0,0
1572,8697,18,0,0
1573,8698,18,0,0
1574,8699,19,0,0
1575,8700,19,0,0
1576,8701,18,0,0
1577,8702,18,0,0
1578,8703,18,0,0
1579,8704,18,0,0
1580,8705,19,0,0
1581,8706,18,0,0
1582,8707,18,0,0
1583,8708,18,0,0
1584,8709,18,0,0
1585,8710,17,0,0
1586,8711,18,0,0
1587,8712,18,0,0
1588,8713,17,0,0
1589,8714,17,0,0
1590,8715,17,0,0
1591,8716,16,0,0
1592,8717,14,0,0
1593,8718,14,0,0
1594,8719,13,0,0
1595,8720,13,0,0
1596,8721,12,0,0
1597,8722,11,0,0
1598,8723,11,0,0
1599,8724,9,0,0
1600,8725,8,0,0
1601,8726,8,0,0
1602,8727,6,0,0
1603,8728,5,0,0
1604,8729,4,0,0
1605,8730,2,0,0
1606,8731,1,0,0
1607,8732,0,1,1
1608,8733,0,0,1
1609,8832,16,0,0
1610,8833,17,0,0
1611,8834,18,0,0
1612,8835,20,0,0
1613,8836,20,0,0
1614,8837,22,0,0
1615,8838,22,0,0
1616,8839,22,0,0
1617,8840,24,0,0
1618,8841,24,0,0
1619,8842,25,0,0
1620,8843,27,0,0
1621,8844,28,0,0
1622,8845,28,0,0
1623,8846,31,0,0
1624,8847,31,0,0
1625,8848,31,0,0
1626,8849,34,0,0
1627,8850,34,0,0
1628,8851,35,0,0
1629,8852,36,0,0
1630,8853,22,0,0
1631,8854,20,0,0
1632,8855,21,0,0
1633,8856,21,0,0
1634,8857,21,0,0
1635,8858,21,0,0
1636,8859,21,0,0
1637,8860,21,0,0
1638,8861,21,0,0
1639,8862,21,0,0
1640,8863,21,0,0
1641,8864,21,0,0
1642,8865,21,0,0
1643,8866,21,0,0
1644,8867,20,0,0
1645,8868,20,0,0
1646,8869,20,0,0
1647,8870,21,0,0
1648,8871,21,0,0
1649,8872,21,0,0
1650,8873,20,0,0
1651,8874,20,0,0
1652,8875,20,0,0
1653,8876,21,0,0
1654,8877,21,0,0
1655,8878,21,0,0
1656,8879,20,0,0
1657,8880,20,0,0
1658,8881,20,0,0
1659,8882,19,0,0
1660,8883,19,0,0
1661,8884,19,0,0
1662,8885,19,0,0
1663,8886,19,0,0
1664,8887,19,0,0
1665,8888,20,0,0
1666,8889,20,0,0
1667,8890,20,0,0
1668,8891,21,0,0
1669,8892,21,0,0
1670,8893,20,0,0
1671,8894,20,0,0
1672,8895,20,0,0
1673,8896,20,0,0
1674,8897,21,0,0
1675,8898,20,0,0
1676,8899,20,0,0
1677,8900,21,0,0
1678,8901,21,0,0
1679,8902,20,0,0
1680,8903,20,0,0
1681,8904,20,0,0
1682,8905,19,0,0
1683,8906,19,0,0
1684,8907,19,0,0
1685,8908,18,0,0
1686,8909,17,0,0
1687,8910,17,0,0
1688,8911,15,0,0
1689,8912,15,0,0
1690,8913,14,0,0
1691,8914,13,0,0
1692,8915,13,0,0
1693,8916,11,0,0
1694,8917,10,0,0
1695,8918,10,0,0
1696,8919,7,0,0
1697,8920,6,0,0
1698,8921,6,0,0
1699,8922,3,0,0
1700,8923,2,0,0
1701,8924,2,0,0
1702,8925,0,0,1
1703,8926,0,0,1
1704,9024,15,0,0
1705,9025,16,0,0
1706,9026,17,0,0
1707,9027,19,0,0
1708,9028,19,0,0
1709,9029,21,0,0
1710,9030,21,0,0
1711,9031,21,0,0
1712,9032,23,0,0
1713,9033,23,0,0
1714,9034,24,0,0
1715,9035,26,0,0
1716,9036,27,0,0
1717,9037,27,0,0
1718,9038,30,0,0
1719,9039,30,0,0
1720,9040,30,0,0
1721,9041,33,0,0
1722,9042,33,0,0
1723,9043,34,0,0
1724,9044,35,0,0
1725,9045,36,0,0
1726,9046,36,0,0
1727,9047,22,0,0
1728,9048,22,0,0
1729,9049,22,0,0
1730,9050,22,0,0
1731,9051,22,0,0
1732,9052,22,0,0
1733,9053,22,0,0
1734,9054,22,0,0
1735,9055,22,0,0
1736,9056,22,0,0
1737,9057,22,0,0
1738,9058,22,0,0
1739,9059,21,0,0
1740,9060,21,0,0
1741,9061,21,0,0
1742,9062,22,0,0
1743,9063,22,0,0
1744,9064,22,0,0
1745,9065,21,0,0
1746,9066,21,0,0
1747,9067,21,0,0
1748,9068,22,0,0
1749,9069,22,0,0
1750,9070,22,0,0
1751,9071,21,0,0
1752,9072,21,0,0
1753,9073,21,0,0
1754,9074,20,0,0
1755,9075,20,0,0
1756,9076,20,0,0
1757,9077,20,0,0
1758,9078,20,0,0
1759,9079,20,0,0
1760,9080,21,0,0
1761,9081,21,0,0
1762,9082,21,0,0
1763,9083,22,0,0
1764,9084,22,0,0
1765,9085,21,0,0
1766,9086,21,0,0
1767,9087,21,0,0
1768,9088,21,0,0
1769,9089,22,0,0
1770,9090,21,0,0
1771,9091,21,0,0
