I,Elev_Rel
2870,18
2871,18
2872,18
2873,18
2874,16
2875,16
2876,16
2877,13
2878,13
2879,13
2880,1
2881,1
2882,2
2883,2
2884,2
2885,2
2886,2
2887,2
2888,3
2889,3
2890,3
2891,3
2892,3
2893,2
2894,3
2895,3
2896,3
2897,4
2898,4
2899,4
2900,4
2901,4
2902,4
2903,3
2904,3
2905,3
2906,3
2907,3
2908,3
2909,2
2910,2
2911,2
2912,2
2913,2
2914,2
2915,1
2916,1
2917,1
2918,2
2919,2
2920,2
2921,1
2922,1
2923,2
2924,2
2925,2
2926,2
2927,2
2928,2
2929,2
2930,2
2931,2
2932,2
2933,2
2934,2
2935,2
2936,2
2937,2
2938,2
2939,2
2940,2
2941,2
2942,3
2943,3
2944,3
2945,4
2946,4
2947,4
2948,5
2949,5
2950,5
2951,5
2952,5
2953,5
2954,6
2955,6
2956,6
2957,7
2958,7
2959,7
2960,9
2961,9
2962,9
2963,11
2964,11
2965,12
2966,13
2967,13
2968,14
2969,14
2970,14
2971,16
2972,16
2973,16
2974,17
2975,17
2976,18
2977,18
2978,18
2979,19
2980,19
2981,19
2982,19
2983,19
2984,19
2985,20
2986,20
2987,20
2988,20
